after_follower,birth_date,collaboration,death_date,display_name,first,fullname,irn,last,middle,nationality,organization,party_type,role,ulan:id,ulan:name
,1864,,1918,"Dearth, Henry Golden",,"Dearth, Henry Golden",1036,"Dearth, Henry Golden",,,,ULAN,Artist,,"Dearth, Henry Golden"
,1912,,1994,"Doisneau, Robert",,"Doisneau, Robert",1038,"Doisneau, Robert",,,,ULAN,Artist,,"Doisneau, Robert"
,1832,,1883,"Doré, Gustave",Gustave,Gustave Doré,1039,Doré,,,,ULAN,Artist,,"Doré, Gustave"
,,,,"Mayer, Wilhelm Emil",,"Mayer, Wilhelm Emil",1040,"Mayer, Wilhelm Emil",,,,ULAN,Artist,,"Mayer, Wilhelm Emil"
,1877,,1953,"Dufy, Raoul",Raoul,Raoul Dufy,1042,Dufy,,,,ULAN,Artist,,"Dufy, Raoul"
,,,,"Fenderich, Charles",,"Fenderich, Charles",1044,"Fenderich, Charles",,,,ULAN,Artist,,"Fenderich, Charles"
,1697,,1764,"Hogarth, William",William,William Hogarth,1045,Hogarth,,,,ULAN,Artist,,"Hogarth, William"
,1939-,,1939-,"Israel, Robert",,"Israel, Robert",1046,"Israel, Robert",,,,ULAN,Artist,,"Israel, Robert"
,1892,,1942,"Wood, Grant",,"Wood, Grant",1048,"Wood, Grant",,,,ULAN,Artist,,"Wood, Grant"
,1473,,1531,"Burgkmair, Hans, the elder",,"Burgkmair, Hans, the elder",1049,"Burgkmair, Hans, the elder",,,,ULAN,Artist,,"Burgkmair, Hans, the elder"
,1858,,1928,"Osthaus, Edmund Henry",,"Osthaus, Edmund Henry",1051,"Osthaus, Edmund Henry",,,,ULAN,Artist,,"Osthaus, Edmund Henry"
,,,,"Reading, Burnet",,"Reading, Burnet",1052,"Reading, Burnet",,,,ULAN,Artist,,"Reading, Burnet"
,1772,,1839,"Francia, François Louis Thomas",,"Francia, François Louis Thomas",1053,"Francia, François Louis Thomas",,,,ULAN,Artist,,"Francia, François Louis Thomas"
,1625,,1694,Kano Toun,,Kano Toun,1055,Kano Toun,,,,Registration-Verified,Artist,,
,1886,,1980,"Kokoschka, Oskar",Oskar,Oskar Kokoschka,1056,Kokoschka,,,,ULAN,Artist,,"Kokoschka, Oskar"
,1921,,1963,John Bernhardt,John,John Bernhardt,1058,Bernhardt,,,,Registration-Verified,Artist,,
,1676,,1729,"Ricci, Marco",Marco,Marco Ricci,1060,Ricci,,,,ULAN,Artist,,"Ricci, Marco"
,,,,"Eisen, Charles Joseph Dominique",,"Eisen, Charles Joseph Dominique",1061,"Eisen, Charles Joseph Dominique",,,,ULAN,Artist,,"Eisen, Charles Joseph Dominique"
,1922,,,"Swan, Barbara",,"Swan, Barbara",1063,"Swan, Barbara",,,,ULAN,Artist,,"Swan, Barbara"
,1868,,1952,"Curtis, Edward Sheriff",,"Curtis, Edward Sheriff",1066,"Curtis, Edward Sheriff",,,,ULAN,Artist,,"Curtis, Edward Sheriff"
,1712,,1784,"Fokke, Simon",,"Fokke, Simon",1067,"Fokke, Simon",,,,ULAN,Artist,,"Fokke, Simon"
,1940,,,"Bohnen, Blythe",,"Bohnen, Blythe",1069,"Bohnen, Blythe",,,,ULAN,Artist,,"Bohnen, Blythe"
,1924-,,1924-,"Pepper, Beverly",,"Pepper, Beverly",1071,"Pepper, Beverly",,,,ULAN,Artist,,"Pepper, Beverly"
,,,,"Desboutin, Marcellin Gilbert",,"Desboutin, Marcellin Gilbert",1072,"Desboutin, Marcellin Gilbert",,,,ULAN,Artist,,"Desboutin, Marcellin Gilbert"
,,,,"Coqueret, Achille",,"Coqueret, Achille",1073,"Coqueret, Achille",,,,ULAN,Artist,,"Coqueret, Achille"
,1609,,1661,"Fyt, Jan",,"Fyt, Jan",1074,"Fyt, Jan",,,,ULAN,Artist,,"Fyt, Jan"
,1789,,1854,"Martin, John",,"Martin, John",1076,"Martin, John",,,,ULAN,Artist,,"Martin, John"
,1707,,1783,"Le Bas, Jacques Philippe",,"Le Bas, Jacques Philippe",1078,"Le Bas, Jacques Philippe",,,,ULAN,Artist,,"Le Bas, Jacques Philippe"
,1743,,1819,"Godefroy, François",,"Godefroy, François",1080,"Godefroy, François",,,,ULAN,Artist,,"Godefroy, François"
,1903,,1975,"Hepworth, Barbara",Barbara,Barbara Hepworth,1081,Hepworth,,,,ULAN,Artist,,"Hepworth, Barbara"
,1927,,,"Chamberlain, John Angus",,"Chamberlain, John Angus",1082,"Chamberlain, John Angus",,,,ULAN,Artist,,"Chamberlain, John Angus"
,1902,,1995,"Margo, Boris",,"Margo, Boris",1083,"Margo, Boris",,,,ULAN,Artist,,"Margo, Boris"
,,,,"Fantetti, Cesare",,"Fantetti, Cesare",1084,"Fantetti, Cesare",,,,ULAN,Artist,,"Fantetti, Cesare"
,,,,Tiffany and Company,,Tiffany and Company,1085,,,,Tiffany and Company,Organisation,Artist,,
,,,,"Goodwin, Francis",,"Goodwin, Francis",1086,"Goodwin, Francis",,,,ULAN,Artist,,"Goodwin, Francis"
,1769,,1830,"Lawrence, Thomas",Thomas,Thomas Lawrence,1087,Lawrence,,,,ULAN,Artist,,"Lawrence, Thomas"
,,,,"Potemont, Adolphe Théodore Jules Martial",,"Potemont, Adolphe Théodore Jules Martial",1088,"Potemont, Adolphe Théodore Jules Martial",,,,ULAN,Artist,,"Potemont, Adolphe Théodore Jules Martial"
,1863,,1934,Sem (Georges Goursat),,Sem (Georges Goursat),1089,Sem (Georges Goursat),,,,ULAN,Artist,,Sem (Georges Goursat)
,1929,,1995,"Janssen, Horst",,"Janssen, Horst",1090,"Janssen, Horst",,,,ULAN,Artist,,"Janssen, Horst"
,1884,,1958,"Du Bois, Guy Pène",,"Du Bois, Guy Pène",1092,"Du Bois, Guy Pène",,,,ULAN,Artist,,"Du Bois, Guy Pène"
,1883,,1935,"Demuth, Charles",,"Demuth, Charles",1093,"Demuth, Charles",,,,ULAN,Artist,,"Demuth, Charles"
,1881,,1962,"Lewis, Martin",,"Lewis, Martin",1094,"Lewis, Martin",,,,ULAN,Artist,,"Lewis, Martin"
,1796,,1855,"Radclyffe, William",,"Radclyffe, William",1095,"Radclyffe, William",,,,ULAN,Artist,,"Radclyffe, William"
,1773,,1857,Charles Turner,Charles,Charles Turner,1098,Turner,,,,ULAN,Artist,,Charles Turner
,1901-,,1901-,"King, Clinton",,"King, Clinton",1100,"King, Clinton",,,,ULAN,Artist,,"King, Clinton"
,1885,,1979,"Delaunay-Terk, Sonia",,"Delaunay-Terk, Sonia",1101,"Delaunay-Terk, Sonia",,,,ULAN,Artist,,"Delaunay-Terk, Sonia"
,,,,"Bettazzi, R.",,"Bettazzi, R.",1102,"Bettazzi, R.",,,,ULAN,Artist,,"Bettazzi, R."
,1889,,,"Swann, Don",,"Swann, Don",1103,"Swann, Don",,,,ULAN,Artist,,"Swann, Don"
,1593,,1678,"Jordaens, Jacob",Jacob,Jacob Jordaens,1104,Jordaens,,,,ULAN,Artist,,"Jordaens, Jacob"
,1945-,,1945-,"Jackson, Herb",,"Jackson, Herb",1106,"Jackson, Herb",,,,ULAN,Artist,,"Jackson, Herb"
,1937,,,"Scholder, Fritz",,"Scholder, Fritz",1108,"Scholder, Fritz",,,,ULAN,Artist,,"Scholder, Fritz"
,1909,,,"Brun, Donald",,"Brun, Donald",1109,"Brun, Donald",,,,ULAN,Artist,,"Brun, Donald"
,1680,,1764,"Conca, Sebastiano",Sebastiano,Sebastiano Conca,1110,Conca,,,,ULAN,Artist,,"Conca, Sebastiano"
,,,,"Greenwald, Caroline",,"Greenwald, Caroline",1111,"Greenwald, Caroline",,,,ULAN,Artist,,"Greenwald, Caroline"
,1610,,1668,"Molenaer, Jan Miense",Jan,Jan M. Molenaer,1112,Molenaer,Miense,,,ULAN,Artist,,"Molenaer, Jan Miense"
,,,,"Annigoni, Pietro",,"Annigoni, Pietro",1114,"Annigoni, Pietro",,,,ULAN,Artist,,"Annigoni, Pietro"
,1930,,1982,William Majors,William,William Majors,1116,Majors,,,,Registration-Verified,Artist,,
,1868,,1916,"Lacombe, Georges",Georges,Georges Lacombe,1117,Lacombe,,,,ULAN,Artist,,"Lacombe, Georges"
,1884,,1966,"Anderson, Stanley",,"Anderson, Stanley",1118,"Anderson, Stanley",,,,ULAN,Artist,,"Anderson, Stanley"
,1805,,1887,"Blery, Eugène-Stanislas-Alexandre",,"Blery, Eugène-Stanislas-Alexandre",1119,"Blery, Eugène-Stanislas-Alexandre",,,,ULAN,Artist,,"Blery, Eugène-Stanislas-Alexandre"
,,,,"Longobardi, Nino",,"Longobardi, Nino",1121,"Longobardi, Nino",,,,ULAN,Artist,,"Longobardi, Nino"
,1903,,1984,"Hewit, Mabel A.",,"Hewit, Mabel A.",1123,"Hewit, Mabel A.",,,,Registration-Verified,Artist,,
,1883,,1953,"Wheeler, Clifton A.",,"Wheeler, Clifton A.",1124,"Wheeler, Clifton A.",,,,Registration-Verified,Artist,,
,1937,,,"Jones, Allen",,"Jones, Allen",1128,"Jones, Allen",,,,ULAN,Artist,,"Jones, Allen"
,,,,"Daumier, Honoré Victorin",,"Daumier, Honoré Victorin",1129,"Daumier, Honoré Victorin",,,,ULAN,Artist,,"Daumier, Honoré Victorin"
,1941,,,"Murata, Hiroshi",,"Murata, Hiroshi",1130,"Murata, Hiroshi",,,,ULAN,Artist,,"Murata, Hiroshi"
,,,,"Wolgemut, Michael",,"Wolgemut, Michael",1134,"Wolgemut, Michael",,,,ULAN,Artist,,"Wolgemut, Michael"
,1767,,1822,"Polk, Charles Peale",Charles,Charles P. Polk,1139,Polk,Peale,,,ULAN,Artist,,"Polk, Charles Peale"
,,,,"Capelli, Agostino",,"Capelli, Agostino",1140,"Capelli, Agostino",,,,ULAN,Artist,,"Capelli, Agostino"
,1752,,1812,"Sintzenich, Heinrich",,"Sintzenich, Heinrich",1142,"Sintzenich, Heinrich",,,,ULAN,Artist,,"Sintzenich, Heinrich"
,1935,,,"Weege, William",,"Weege, William",1144,"Weege, William",,,,ULAN,Artist,,"Weege, William"
,1883,,1966,"Savage, Eugene Francis",,"Savage, Eugene Francis",1146,"Savage, Eugene Francis",,,,ULAN,Artist,,"Savage, Eugene Francis"
,1796,,1886,"Durand, Asher Brown",Asher,Asher B. Durand,1151,Durand,Brown,,,ULAN,Artist,,"Durand, Asher Brown"
,1842,,1888,"Rajon, Paul Adolphe",,"Rajon, Paul Adolphe",1152,"Rajon, Paul Adolphe",,,,ULAN,Artist,,"Rajon, Paul Adolphe"
,,,,"Bayot, Adolphe Jean-Baptiste",,"Bayot, Adolphe Jean-Baptiste",1153,"Bayot, Adolphe Jean-Baptiste",,,,ULAN,Artist,,"Bayot, Adolphe Jean-Baptiste"
,1765,,1810,"Schiavonetti, Luigi",,"Schiavonetti, Luigi",1156,"Schiavonetti, Luigi",,,,ULAN,Artist,,"Schiavonetti, Luigi"
,1826,,1863,"Villevieille, Léon",,"Villevieille, Léon",1157,"Villevieille, Léon",,,,ULAN,Artist,,"Villevieille, Léon"
,1806,,1867,"Jeavons, Thomas",,"Jeavons, Thomas",1158,"Jeavons, Thomas",,,,ULAN,Artist,,"Jeavons, Thomas"
,1949,,,"Knoebel, David",,"Knoebel, David",1160,"Knoebel, David",,,,ULAN,Artist,,"Knoebel, David"
,1619,,1693,"Kalf, Willem",Willem,Willem Kalf,1161,Kalf,,,,ULAN,Artist,,"Kalf, Willem"
,1683,,1751,"Flipart, Jean Charles",,"Flipart, Jean Charles",1163,"Flipart, Jean Charles",,,,Registration-Verified,Artist,,
,1851,,1913,"Stull, Henry",,"Stull, Henry",1166,"Stull, Henry",,,,ULAN,Artist,,"Stull, Henry"
,1885,,1925,"La Fresnaye, Roger de",Roger,Roger d. La Fresnaye,1168,La Fresnaye,de,,,ULAN,Artist,,"La Fresnaye, Roger de"
,1872,,1909,"Berthon, Paul",,"Berthon, Paul",1169,"Berthon, Paul",,,,ULAN,Artist,,"Berthon, Paul"
,1490-1495,,ca 1540,"Springinklee, Hans",,"Springinklee, Hans",1170,"Springinklee, Hans",,,,ULAN,Artist,,"Springinklee, Hans"
,1849,,1916,William Merritt Chase,,William Merritt Chase,1171,William Merritt Chase,,,,Ulan,Artist,500115356,William Merritt Chase
,1905,,1970,"Ferren, John",,"Ferren, John",1173,"Ferren, John",,,,ULAN,Artist,,"Ferren, John"
,1889,,1963,"Ritman, Louis",Louis,Louis Ritman,1174,Ritman,,,,ULAN,Artist,,"Ritman, Louis"
,1600,,1650,"Morin, Jean",,"Morin, Jean",1179,"Morin, Jean",,,,ULAN,Artist,,"Morin, Jean"
,1942-,,1942-,"Schonzeit, Ben",,"Schonzeit, Ben",1181,"Schonzeit, Ben",,,,ULAN,Artist,,"Schonzeit, Ben"
,1500,,1550,"Beham, Hans Sebald",,"Beham, Hans Sebald",1182,"Beham, Hans Sebald",,,,ULAN,Artist,,"Beham, Hans Sebald"
,1847,,1906,"Dodson, Sarah Paxton Ball",,"Dodson, Sarah Paxton Ball",1183,"Dodson, Sarah Paxton Ball",,,,ULAN,Artist,,"Dodson, Sarah Paxton Ball"
,,,,"Lalanne, Maxime",,"Lalanne, Maxime",1184,"Lalanne, Maxime",,,,ULAN,Artist,,"Lalanne, Maxime"
,,,,"Gandolfi, Mauro",,"Gandolfi, Mauro",1185,"Gandolfi, Mauro",,,,ULAN,Artist,,"Gandolfi, Mauro"
,1642,,1692,"Vermeulen, Cornelis",,"Vermeulen, Cornelis",1187,"Vermeulen, Cornelis",,,,ULAN,Artist,,"Vermeulen, Cornelis"
,1853,,1853-1890,"Reggianini, Vittorio",,"Reggianini, Vittorio",1188,"Reggianini, Vittorio",,,,ULAN,Artist,,"Reggianini, Vittorio"
,1880,,1940,"Lie, Jonas",,"Lie, Jonas",1189,"Lie, Jonas",,,,ULAN,Artist,,"Lie, Jonas"
,1938,,,Bertil Vallien,Bertil,Bertil Vallien,1190,Vallien,,,,Registration-Verified,Artist,,
,,,,"Gibbons, Grinling",,"Gibbons, Grinling",1193,"Gibbons, Grinling",,,,ULAN,Artist,,"Gibbons, Grinling"
,1877,,1952,"Dreier, Katherine Sophie",,"Dreier, Katherine Sophie",1194,"Dreier, Katherine Sophie",,,,ULAN,Artist,,"Dreier, Katherine Sophie"
,1891,,1973,"Lipchitz, Jacques",,"Lipchitz, Jacques",1196,"Lipchitz, Jacques",,,,ULAN,Artist,,"Lipchitz, Jacques"
,1943,,2010,"Brakke, Michael",Michael,Michael Brakke,1197,Brakke,,,,Ulan,Artist,500060650,"Brakke, Michael"
,,,,"Auerbach, Frank Helmuth",,"Auerbach, Frank Helmuth",1198,"Auerbach, Frank Helmuth",,,,ULAN,Artist,,"Auerbach, Frank Helmuth"
,1914,,,Huang Jun,,Huang Jun,1200,Huang Jun,,,,Registration-Verified,Artist,,
,,,,"Bayes, Alfred Walter",,"Bayes, Alfred Walter",1201,"Bayes, Alfred Walter",,,,ULAN,Artist,,"Bayes, Alfred Walter"
,,,,"Ribot, Augustin Théodule",,"Ribot, Augustin Théodule",1203,"Ribot, Augustin Théodule",,,,ULAN,Artist,,"Ribot, Augustin Théodule"
,1787,,1855,"Fielding, Anthony Vandyke Copley",Anthony,Anthony V. Fielding,1205,Fielding,Vandyke Copley,,,ULAN,Artist,,"Fielding, Anthony Vandyke Copley"
,1680,,1744,"Ferrari, Lorenzo de'",,"Ferrari, Lorenzo de'",1206,"Ferrari, Lorenzo de'",,,,ULAN,Artist,,"Ferrari, Lorenzo de'"
,,,,"Knowles, Justin",,"Knowles, Justin",1207,"Knowles, Justin",,,,ULAN,Artist,,"Knowles, Justin"
,1898,,1957,"Tchelitchew, Pavel",,"Tchelitchew, Pavel",1209,"Tchelitchew, Pavel",,,,ULAN,Artist,,"Tchelitchew, Pavel"
,1932,,,"Caponigro, Paul",,"Caponigro, Paul",1210,"Caponigro, Paul",,,,ULAN,Artist,,"Caponigro, Paul"
,1909,,,"Erni, Hans",,"Erni, Hans",1211,"Erni, Hans",,,,ULAN,Artist,,"Erni, Hans"
,about 1820,,about 1906,"Freeman, William R.",,"Freeman, William R.",1212,"Freeman, William R.",,,,ULAN,Artist,,"Freeman, William R."
,1715-1791,,1715-1791,"Dalton, Richard",,"Dalton, Richard",1213,"Dalton, Richard",,,,ULAN,Artist,,"Dalton, Richard"
,,,,"Paolozzi, Eduardo Luigi",,"Paolozzi, Eduardo Luigi",1214,"Paolozzi, Eduardo Luigi",,,,ULAN,Artist,,"Paolozzi, Eduardo Luigi"
,,,,"Dietrich, Christian Wilhelm Ernst",,"Dietrich, Christian Wilhelm Ernst",1215,"Dietrich, Christian Wilhelm Ernst",,,,ULAN,Artist,,"Dietrich, Christian Wilhelm Ernst"
,,,,"Bartolini, Luigi",,"Bartolini, Luigi",1216,"Bartolini, Luigi",,,,ULAN,Artist,,"Bartolini, Luigi"
,1870,,1952,"Brewster, Anna Richards",,"Brewster, Anna Richards",1217,"Brewster, Anna Richards",,,,ULAN,Artist,,"Brewster, Anna Richards"
,1695,,1760,"Manglard, Adrien",,"Manglard, Adrien",1219,"Manglard, Adrien",,,,ULAN,Artist,,"Manglard, Adrien"
,,,,"Bessire, Dale Philip",,"Bessire, Dale Philip",1220,"Bessire, Dale Philip",,,,ULAN,Artist,,"Bessire, Dale Philip"
,1758,,1810,"Hoppner, John",John,John Hoppner,1221,Hoppner,,,,ULAN,Artist,,"Hoppner, John"
,1882,,1940,"Gill, Eric",,"Gill, Eric",1222,"Gill, Eric",,,,ULAN,Artist,,"Gill, Eric"
,1878,,1970,"Webster, Herman Armour",,"Webster, Herman Armour",1223,"Webster, Herman Armour",,,,ULAN,Artist,,"Webster, Herman Armour"
,1864,,1946,"Stieglitz, Alfred",,"Stieglitz, Alfred",1224,"Stieglitz, Alfred",,,,ULAN,Artist,,"Stieglitz, Alfred"
,1780,,1867,"Ingres, Jean Auguste Dominique",,"Ingres, Jean Auguste Dominique",1225,"Ingres, Jean Auguste Dominique",,,,ULAN,Artist,,"Ingres, Jean Auguste Dominique"
,1813,,1893,"Jelliff, John",,"Jelliff, John",1228,"Jelliff, John",,,,ULAN,Artist,,"Jelliff, John"
,1636,,1675,"Lochon, Rene",,"Lochon, Rene",1229,"Lochon, Rene",,,,ULAN,Artist,,"Lochon, Rene"
,"September 20, 1941",,,"Chihuly, Dale",,"Chihuly, Dale",1230,"Chihuly, Dale",,,,ULAN,Artist,,"Chihuly, Dale"
,1930,,,"McGarrell, James",,"McGarrell, James",1231,"McGarrell, James",,,,ULAN,Artist,,"McGarrell, James"
,1879,,,"Beal, Gifford Reynolds",,"Beal, Gifford Reynolds",1234,"Beal, Gifford Reynolds",,,,ULAN,Artist,,"Beal, Gifford Reynolds"
,,,,"Lewis, F.C.",,"Lewis, F.C.",1238,"Lewis, F.C.",,,,ULAN,Artist,,"Lewis, F.C."
,,,,"Carolus-Duran, Auguste Émile",,"Carolus-Duran, Auguste Émile",1239,"Carolus-Duran, Auguste Émile",,,,ULAN,Artist,,"Carolus-Duran, Auguste Émile"
After,1634,,1693,"Maes, Nicolaes",Nicolaes,Nicolaes Maes,1241,Maes,,,,ULAN,Artist,,"Maes, Nicolaes"
,,,,"Musick, Archie",,"Musick, Archie",1242,"Musick, Archie",,,,ULAN,Artist,,"Musick, Archie"
,,,,"Stephens, Alice Barber",,"Stephens, Alice Barber",1243,"Stephens, Alice Barber",,,,ULAN,Artist,,"Stephens, Alice Barber"
,1866,,1913,"Seegmiller, Wilhelmina",,"Seegmiller, Wilhelmina",1244,"Seegmiller, Wilhelmina",,,,Registration-Verified,Artist,,
,,,,"Conner, Lois",,"Conner, Lois",1247,"Conner, Lois",,,,ULAN,Artist,,"Conner, Lois"
,,,,"Gourmont, Jean de",,"Gourmont, Jean de",1249,"Gourmont, Jean de",,,,ULAN,Artist,,"Gourmont, Jean de"
,1847,,1898,"Evans, De Scott",,"Evans, De Scott",1250,"Evans, De Scott",,,,ULAN,Artist,,"Evans, De Scott"
,1847,,1898,"Buhot, Félix Hilaire",,"Buhot, Félix Hilaire",1251,"Buhot, Félix Hilaire",,,,ULAN,Artist,,"Buhot, Félix Hilaire"
,1787,,1819,"Harlow, George Henry",,"Harlow, George Henry",1252,"Harlow, George Henry",,,,ULAN,Artist,,"Harlow, George Henry"
,,,,Le Corbusier (Charles Eouard Jeanneret),,Le Corbusier (Charles Eouard Jeanneret),1254,Le Corbusier (Charles Eouard Jeanneret),,,,ULAN,Artist,,Le Corbusier (Charles Eouard Jeanneret)
,1894,,1966,"Fiene, Ernest",,"Fiene, Ernest",1256,"Fiene, Ernest",,,,ULAN,Artist,,"Fiene, Ernest"
,1905,,1975,Donald Mattison,Donald,Donald Mattison,1257,Mattison,,,,Registration-Verified,Artist,,
,1877,,1959,Maude Eggemeyer,Maude,Maude Eggemeyer,1260,Eggemeyer,,,,Registration-Verified,Artist,,
,1902,,1993,"Calapai, Letterio",,"Calapai, Letterio",1261,"Calapai, Letterio",,,,ULAN,Artist,,"Calapai, Letterio"
,1817,,1878,"Daubigny, Charles François",Charles,Charles F. Daubigny,1262,Daubigny,François,,,ULAN,Artist,,"Daubigny, Charles François"
,1869,,1954,"Matisse, Henri",Henri,Henri Matisse,1263,Matisse,,,,ULAN,Artist,,"Matisse, Henri"
,1775-1847,,1775-1847,"Papworth, John Buonarotti",,"Papworth, John Buonarotti",1264,"Papworth, John Buonarotti",,,,ULAN,Artist,,"Papworth, John Buonarotti"
,1899,,1994,"Albers, Anni",,"Albers, Anni",1265,"Albers, Anni",,,,ULAN,Artist,,"Albers, Anni"
,1757,,1827,"Blake, William",,"Blake, William",1266,"Blake, William",,,,ULAN,Artist,,"Blake, William"
,1870,,1928,Ada W. Shulz,Ada,Ada W. Shulz,1267,Shulz,Walter,,,Registration-Verified,Artist,,
,1927,,,"Parker, Robert Andrew",,"Parker, Robert Andrew",1268,"Parker, Robert Andrew",,,,ULAN,Artist,,"Parker, Robert Andrew"
,1779,,1856,"Lewis, Frederick Christian, I",,"Lewis, Frederick Christian, I",1269,"Lewis, Frederick Christian, I",,,,ULAN,Artist,,"Lewis, Frederick Christian, I"
,1925,,2009,"Soffer, Sasson",Sasson,Sasson Soffer,1270,Soffer,,,,Ulan,Artist,500110153,"Soffer, Sasson"
,1928,,,"Stanczak, Julian",,"Stanczak, Julian",1271,"Stanczak, Julian",,,,ULAN,Artist,,"Stanczak, Julian"
,1958,,,Linda A. Goodine,Linda,Linda A. Goodine,1272,Goodine,Adele,,,Registration-Verified,Artist,,
,1868,,1933,"Hart, George Overbury",,"Hart, George Overbury",1273,"Hart, George Overbury",,,,ULAN,Artist,,"Hart, George Overbury"
,1427,,1509,Shen Zhou,,Shen Zhou,1274,Shen Zhou,,,,Registration-Verified,Artist,,
,1932-,,1932-,"Bechtle, Robert",,"Bechtle, Robert",1275,"Bechtle, Robert",,,,ULAN,Artist,,"Bechtle, Robert"
,1925,,,"Vian, Orfeo",,"Vian, Orfeo",1276,"Vian, Orfeo",,,,Registration-Verified,Artist,,
,,,,"Amman, Jost",,"Amman, Jost",1280,"Amman, Jost",,,,ULAN,Artist,,"Amman, Jost"
,1935,,,"Ramos, Mel",Mel,Mel Ramos,1282,Ramos,,,,Ulan,Artist,500012930,"Ramos, Mel"
,1928,,1984,"Winogrand, Garry",,"Winogrand, Garry",1284,"Winogrand, Garry",,,,ULAN,Artist,,"Winogrand, Garry"
,1902,,,"Domec, Claude",,"Domec, Claude",1286,"Domec, Claude",,,,ULAN,Artist,,"Domec, Claude"
,1923,,1997,"Lichtenstein, Roy",,"Lichtenstein, Roy",1287,"Lichtenstein, Roy",,,,ULAN,Artist,,"Lichtenstein, Roy"
,,,,"Stuck, Franz von",,"Stuck, Franz von",1288,"Stuck, Franz von",,,,ULAN,Artist,,"Stuck, Franz von"
,active before 1630,,1676,"Molenaer, Klaes",Klaes,Klaes Molenaer,1289,Molenaer,,,,ULAN,Artist,,"Molenaer, Klaes"
,1876,,c. 1964-1966,"Johansen, John Christen",,"Johansen, John Christen",1290,"Johansen, John Christen",,,,ULAN,Artist,,"Johansen, John Christen"
,1603,,1669,"Willaerts, Abraham",,"Willaerts, Abraham",1292,"Willaerts, Abraham",,,,ULAN,Artist,,"Willaerts, Abraham"
